device,Rsq,fluxType,plot,site,plotID,elevation,aspect,date_time,fluxValue,year,date,day_night
LI8100,0.677639298316134,SoilEvap,2,1,2000west2,2000,west,2023-12-08T15:47:09Z,-0.00340458812211326,2023,2023-12-08,day
LI8100,0.893533016769013,SoilEvap,1,1,2000west1,2000,west,2023-12-08T15:39:45Z,0.00381287225794649,2023,2023-12-08,day
LI8100,0.982276017007056,SoilEvap,5,1,2000east5,2000,east,2023-12-08T16:56:20Z,-0.0046120275059728,2023,2023-12-08,day
LI8100,0.868080645168667,SoilEvap,4,1,2000east4,2000,east,2023-12-08T16:48:57Z,-0.00246344824935802,2023,2023-12-08,day
LI8100,0.963072389975905,SoilEvap,3,1,2000east3,2000,east,2023-12-08T16:41:34Z,-0.00617934189858053,2023,2023-12-08,day
LI8100,0.00018040201783084,SoilEvap,2,1,2000east2,2000,east,2023-12-08T16:34:11Z,1.24990001457267e-05,2023,2023-12-08,day
LI8100,0.963908252687007,SoilEvap,1,1,2000east1,2000,east,2023-12-08T16:26:47Z,-0.00520928607793671,2023,2023-12-08,day
LI8100,0.985005889714922,SoilResp,5,5,2800west5,2800,west,2023-12-09T15:04:13Z,0.971226446986958,2023,2023-12-09,day
LI8100,0.993796321137489,SoilResp,4,5,2800west4,2800,west,2023-12-09T14:56:49Z,3.00407627367103,2023,2023-12-09,day
LI8100,0.992449632861111,SoilResp,3,5,2800west3,2800,west,2023-12-09T14:49:06Z,1.5231269196796,2023,2023-12-09,day
LI8100,0.991615642744599,SoilResp,2,5,2800west2,2800,west,2023-12-09T14:41:43Z,1.46233802025642,2023,2023-12-09,day
LI8100,0.992402066624217,SoilResp,1,5,2800west1,2800,west,2023-12-09T14:34:19Z,1.19767709959173,2023,2023-12-09,day
LI8100,0.989094724541726,SoilResp,5,5,2800east5,2800,east,2023-12-09T14:21:41Z,0.740615067655109,2023,2023-12-09,day
LI8100,0.995468278221315,SoilResp,4,5,2800east4,2800,east,2023-12-09T14:14:17Z,0.762900427701872,2023,2023-12-09,day
LI8100,0.989591555265963,SoilResp,3,5,2800east3,2800,east,2023-12-09T14:06:53Z,1.01270432074769,2023,2023-12-09,day
LI8100,0.992216664585254,SoilResp,2,5,2800east2,2800,east,2023-12-09T13:59:27Z,1.30492028591898,2023,2023-12-09,day
LI8100,0.991459418695082,SoilResp,1,5,2800east1,2800,east,2023-12-09T13:52:03Z,1.45640539351758,2023,2023-12-09,day
LI8100,0.981890344678993,SoilResp,5,4,2600west5,2600,west,2023-12-14T13:37:35Z,0.708655921493805,2023,2023-12-14,day
LI8100,0.97744235303523,SoilResp,4,4,2600west4,2600,west,2023-12-14T13:30:11Z,0.311862962009984,2023,2023-12-14,day
LI8100,0.990206760394473,SoilResp,3,4,2600west3,2600,west,2023-12-14T13:22:47Z,0.559442555190331,2023,2023-12-14,day
