LI-8100:	     20c	      93	    9787	     233	     188
File Name:	SR_5_2800_east
Instrument Name:	GCBG
Serial Number:	81A-0265
Software:	2.0.0	LI-8100 File Viewer 2.0.0
Comments:	
Obs#:	1
Port#:	0
Label:	SR_5_2800_east
Observation Length:	03:00
Observation Delay:	00:00
IRGA Averaging:	4
Flow8100:	10
FlowMux:	0
Tmux:	0,00
Virga:	19,0
Vmux:	55,0
Vext:	0,0
Vcham:	835,2
Offset:	3,0
Area:	317,8
Vtotal:	1807,6
V1 Info:	0	M=1	B=0
V2 Info:	0	M=1	B=0
V3 Info:	0	M=1	B=0
V4 Info:	0	M=1	B=0
Labels_01:	28
Type	Etime	Date	Tcham	Pressure	H2O	CO2	Cdry	T1	T2	T3	T4	V1	V2	V3	V4	RH	Tbench	Tboard	Vin	CO2ABS	H2OABS	Hour	DOY	RAWCO2	RAWCO2REF	RAWH2O	RAWH2OREF
1	2	2023-12-09 13:50:05	25.86	72.9	18.797	387.15	394.57	-183.11	-183.07	-183.04	-183.07	0.18	0	0.015	0	41.02	51.46	29.75	12.21	0.08024	0.10561	13.8347	343.57645	2267889	2555447	1692632	1710671
1	3	2023-12-09 13:50:06	25.87	72.9	18.751	386.74	394.13	-183.14	-183.11	-183.11	-183.07	0.18	0	0.015	0	40.9	51.46	29.75	12.22	0.08012	0.10554	13.8350	343.57646	2268276	2555631	1692933	1710899
1	4	2023-12-09 13:50:07	25.88	72.91	18.704	386.65	394.02	-183.12	-183.16	-183.09	-183.05	0.18	0	0.015	0	40.78	51.44	29.77	12.22	0.08012	0.10547	13.8353	343.57647	2268602	2556023	1693257	1711159
1	5	2023-12-09 13:50:08	25.9	72.91	18.656	386.23	393.57	-183.12	-183.12	-183.12	-183.09	0.18	0	0.015	0	40.62	51.46	29.77	12.22	0.08014	0.1052	13.8356	343.57648	2269064	2556589	1693677	1711283
1	6	2023-12-09 13:50:09	25.91	72.92	18.604	385.99	393.31	-183.1	-183.14	-183.1	-183.07	0.18	0	0.015	0	40.49	51.44	29.78	12.24	0.08005	0.10494	13.8358	343.57649	2269576	2556985	1694062	1711377
1	7	2023-12-09 13:50:10	25.94	72.92	18.563	385.71	393	-183.16	-183.09	-183.09	-183.12	0.18	0	0.015	0	40.35	51.44	29.78	12.24	0.07995	0.10493	13.8361	343.57650	2269594	2556758	1694259	1711551
1	8	2023-12-09 13:50:11	25.95	72.91	18.521	385.65	392.93	-183.16	-183.16	-183.09	-183.16	0.18	0	0.015	0	40.21	51.44	29.79	12.25	0.07996	0.10471	13.8364	343.57652	2270020	2557265	1694708	1711759
1	9	2023-12-09 13:50:12	25.96	72.9	18.478	385.56	392.82	-183.12	-183.12	-183.09	-183.12	0.18	0	0.015	0	40.09	51.44	29.79	12.25	0.08008	0.10447	13.8367	343.57653	2269867	2557343	1695086	1711866
1	10	2023-12-09 13:50:13	25.98	72.9	18.444	385.36	392.6	-183.16	-183.12	-183.12	-183.09	0.18	0	0.015	0	39.97	51.44	29.79	12.26	0.0801	0.10445	13.8369	343.57654	2270004	2557512	1695103	1711847
1	11	2023-12-09 13:50:14	26.01	72.9	18.394	385.54	392.76	-183.12	-183.12	-183.09	-183.12	0.18	0	0.015	0	39.81	51.44	29.8	12.26	0.07996	0.10415	13.8372	343.57655	2270189	2557455	1695532	1711962
1	12	2023-12-09 13:50:15	26.02	72.9	18.347	385.34	392.54	-183.12	-183.09	-183.12	-183.12	0.18	0	0.015	0	39.69	51.44	29.8	12.26	0.08017	0.10416	13.8375	343.57656	2270048	2557733	1695601	1712042
1	13	2023-12-09 13:50:16	26.03	72.91	18.306	385.32	392.51	-183.17	-183.14	-183.1	-183.14	0.18	0	0.015	0	39.56	51.44	29.8	12.26	0.07994	0.10396	13.8378	343.57657	2270488	2557783	1695940	1712183
1	14	2023-12-09 13:50:17	26.04	72.91	18.262	385.58	392.75	-183.16	-183.12	-183.12	-183.12	0.18	0	0.015	0	39.44	51.41	29.81	12.27	0.08012	0.10374	13.8381	343.57659	2270330	2557948	1696186	1712162
1	15	2023-12-09 13:50:18	26.05	72.91	18.227	385.91	393.08	-183.17	-183.14	-183.14	-183.14	0.18	0	0.015	0	39.31	51.41	29.81	12.27	0.08032	0.10362	13.8383	343.57660	2270182	2558157	1696353	1712166
1	16	2023-12-09 13:50:19	26.07	72.89	18.191	386.46	393.62	-183.19	-183.12	-183.16	-183.05	0.18	0	0.015	0	39.2	51.38	29.82	12.27	0.08025	0.1035	13.8386	343.57661	2270344	2558199	1696517	1712201
1	17	2023-12-09 13:50:20	26.09	72.89	18.162	386.69	393.84	-183.12	-183.16	-183.16	-183.09	0.18	0	0.015	0	39.12	51.38	29.82	12.28	0.08027	0.1035	13.8389	343.57662	2270351	2558264	1696546	1712232
1	18	2023-12-09 13:50:21	26.1	72.9	18.123	386.88	394.02	-183.17	-183.14	-183.14	-183.1	0.18	0	0.015	0	38.99	51.38	29.82	12.28	0.08024	0.10307	13.8392	343.57663	2270262	2558188	1696897	1712171
1	19	2023-12-09 13:50:22	26.11	72.91	18.085	387	394.13	-183.14	-183.1	-183.17	-183.17	0.18	0	0.015	0	38.89	51.41	29.84	12.29	0.08019	0.10311	13.8394	343.57664	2270213	2557965	1696945	1712219
1	20	2023-12-09 13:50:23	26.12	72.92	18.046	387.01	394.12	-183.21	-183.17	-183.07	-183.1	0.179	0	0.015	0	38.77	51.41	29.84	12.29	0.08048	0.10289	13.8397	343.57666	2269937	2558288	1697132	1712181
1	21	2023-12-09 13:50:24	26.13	72.92	18.025	387.25	394.36	-183.14	-183.1	-183.14	-183.14	0.179	0	0.015	0	38.7	51.41	29.85	12.29	0.08032	0.10287	13.8400	343.57667	2269719	2557706	1697108	1712132
1	22	2023-12-09 13:50:25	26.14	72.91	17.988	387.45	394.55	-183.21	-183.17	-183.07	-183.07	0.179	0	0.015	0	38.59	51.36	29.85	12.29	0.08027	0.1029	13.8403	343.57668	2269916	2557797	1697121	1712160
1	23	2023-12-09 13:50:26	26.15	72.9	17.965	387.66	394.75	-183.14	-183.1	-183.1	-183.17	0.179	0	0.015	0	38.52	51.36	29.85	12.29	0.08034	0.10273	13.8406	343.57669	2269792	2557811	1697197	1712046
1	24	2023-12-09 13:50:27	26.17	72.9	17.933	387.92	395	-183.17	-183.1	-183.1	-183.1	0.179	0	0.015	0	38.42	51.33	29.86	12.29	0.08028	0.10255	13.8408	343.57670	2269867	2557794	1697261	1711939
1	25	2023-12-09 13:50:28	26.18	72.91	17.905	388.16	395.23	-183.22	-183.19	-183.12	-183.12	0.179	0	0.015	0	38.35	51.36	29.86	12.29	0.08069	0.10247	13.8411	343.57671	2269323	2557975	1697337	1711874
1	26	2023-12-09 13:50:29	26.19	72.91	17.872	388.41	395.48	-183.19	-183.19	-183.12	-183.19	0.179	0	0.015	0	38.23	51.36	29.86	12.29	0.08059	0.10236	13.8414	343.57672	2269039	2557501	1697337	1711795
