"","filename","site","elevation","aspect","plot","day.night","measurement","tstart","tfinish","wamb","tav","pav","cav","flux_value_original","flux_nlm","lm_rsqd","non_linear_sigma","aic_lm","aic_nlm","w_prime_min","w_prime_max","suggested.discard","flux","comments","pairID","flag","flux_value"
"1","1_2000_east_1_day_photo","1","2000","east","1","day","photo",10,65,23.2581801780053,22.3459671875,80.08914296875,392.972328125,4.37675795701125,0.675812044868493,0.993801711747902,0.259188430243945,-53.04762217363,11.3857890693142,27.4924088860831,33.6067946830026,FALSE,"ET","Saturated and goes down around 70 sec","1_east_1_day_ET","manual_flux_time_selection",4.37675795701125
"2","1_2000_east_2_day_photo","1","2000","east","2","day","photo",20,80,23.4289338150919,23.6321746031746,80.1235436507936,395.262380952381,2.10962384438704,1.06323839865049,0.767831886657295,0.546422245087754,100.309573345494,100.085197913552,29.8525415936844,34.305214780718,FALSE,"ET",NA,"1_east_2_day_ET","okay",2.10962384438704
"3","1_2000_east_3_day_photo","1","2000","east","3","day","photo",20,80,24.2497432816364,24.4062865546219,80.1293781512605,393.312915966387,4.20914737440637,3.1242247542397,0.965696353165945,0.574205189362438,54.2592375038869,105.937382623455,29.9229700012277,36.5565508456384,FALSE,"ET",NA,"1_east_3_day_ET","okay",4.20914737440637
"4","1_2000_east_4_day_photo","1","2000","east","4","day","photo",20,80,24.3795677608502,24.7295163934426,80.130162295082,402.919459016393,3.87243801417707,2.74146144501303,0.956013038271897,0.617177889928272,60.0005375460062,114.453500615844,29.5983794121508,35.7891029807421,FALSE,"ET",NA,"1_east_4_day_ET","okay",3.87243801417707
"5","1_2000_east_5_day_photo","1","2000","east","5","day","photo",20,80,24.0446991791198,24.9098106557377,80.1339303278689,396.636081967213,3.24745592472452,2.48952218243725,0.957520043553183,0.426929633240482,36.3725115371028,70.9660059535653,30.5441963821509,36.1890046047203,FALSE,"ET",NA,"1_east_5_day_ET","okay",3.24745592472452
"6","1_2000_west_1_day_photo","1","2000","west","1","day","photo",20,80,21.2938291249495,20.645,79.9979705882353,398.676193277311,2.60041179075105,1.92085855572067,0.949982316864998,0.394180314603576,18.1588697321287,61.5483374045655,24.4146699458863,28.6513342070698,FALSE,"ET",NA,"1_west_1_day_ET","okay",2.60041179075105
"7","1_2000_west_2_day_photo","1","2000","west","2","day","photo",20,80,20.9323765892719,20.4961441666667,79.9958316666667,402.329708333333,3.19241846160748,2.42234839390066,0.977012663413272,0.378017541340451,-6.01125612731027,56.6079304343031,24.1904568186453,29.4256165358696,FALSE,"ET","Redo is better","1_west_2_day_ET","okay",3.19241846160748
"8","1_2000_west_2_day_photo","1","2000","west","2","day","photo",20,80,20.9323765892719,20.4961441666667,79.9958316666667,402.329708333333,3.19241846160748,2.42234839390066,0.977012663413272,0.378017541340451,-6.01125612731027,56.6079304343031,24.1904568186453,29.4256165358696,FALSE,"ET","Redo is better","1_west_2_day_ET","high_aic_discard_this_keep_other_reading",NA
"9","1_2000_west_2_day_redo_photo","1","2000","west","2","day","redo",20,80,22.3138026588012,21.056237704918,79.9954696721312,405.281852459016,2.88166753341554,1.87032972917324,0.967294534225432,0.517691197553495,3.8461124193911,93.7116522616331,24.8059401851517,29.0696747059305,FALSE,"ET","This is better","1_west_2_day_ET","high_aic_discard_this_keep_other_reading",NA
"10","1_2000_west_3_day_photo","1","2000","west","3","day","photo",20,80,20.8829195669508,19.7406173553719,79.9842049586777,398.246223140496,1.8171020431855,1.25436399314691,0.963544441089608,0.295673799069539,-46.082273439307,27.6172439537371,23.8187333027962,26.4528182237255,TRUE,"ET","Redo is better","1_west_3_day_ET","discard_this_keep_other_reading",NA
