"TableID","Variable.name","Description","Variable type","Variable range or levels","Units","How.measured"
"microclimate","date","Date of observation","categorical","2023-12-05 - 2023-12-16","yyyy-mm-dd","defined"
"microclimate","time","Time of observation","categorical","00:00:00 - 23:50:00","hh:mm:ss","defined"
"microclimate","aspect","Transect aspect","categorical","east - west","","defined"
"microclimate","site_id","Site number","numeric","1 - 6","","defined"
"microclimate","elevation_m_asl","Site elevation","numeric","2000 - 3000","m asl","defined"
"microclimate","plot_id","Number of plot on transect","numeric","1 - 10.6","","defined"
"microclimate","climate_variable","Microclimate variable including moisture_soil, temperature_air, temperature_ground, temperature_leaf, temperature_near_surface, and temperature_soil","categorical","moisture_soil - temperature_soil","","defined"
"microclimate","value","Temperature or moisture reading discarding values later flagged as suspect","numeric","0.029 - 72.944","¡C, (m3 water _ m_3 soil) _ 100","recorded"
"microclimate","device","What equipment was used to measure the microclimate value","categorical","FLIR - Tomst","","defined"
